Date,Close,MACD,Signal,RSI,Upper_Band,Lower_Band,Buy_Signal,Sell_Signal
2022-04-08,27.190000534057617,-0.730260055379027,-1.1121627260599896,49.54892732499615,32.93217879934534,22.031821330354365,False,False
2022-04-11,26.600000381469727,-0.8205957794664087,-1.0538493367412736,40.946658156443846,31.92184459772185,23.72715557012483,False,False
2022-04-12,25.780000686645508,-0.9474331938858995,-1.032566108170199,38.26458422923995,30.94105505958353,25.1609451769277,False,False
2022-04-13,27.65999984741211,-0.8860388340236511,-1.0032606533408894,44.92385673149433,30.94320273608584,25.17179741650205,False,False
2022-04-14,26.93000030517578,-0.8860741128966012,-0.9798233452520317,49.579835636755305,30.71432772838665,25.59667252338337,False,False
2022-04-18,26.459999084472656,-0.9134970172218502,-0.9665580796459955,47.71642783636847,30.68898801205634,25.391012102384583,False,False
2022-04-19,27.360000610351562,-0.8527769827373675,-0.9438018602642699,47.10344774969693,30.68875861107264,25.395241594921014,False,False
2022-04-20,24.8700008392334,-0.9941185103075263,-0.9538651902729213,39.34328449306203,30.79234231468881,24.87765795234,False,False
2022-04-21,23.84000015258789,-1.1756924854261541,-0.9982306493035679,38.92498543294898,30.96276853259327,24.18323175732372,False,False
2022-04-22,23.8700008392334,-1.302159875710604,-1.0590164945849752,32.68229334822125,30.97396970180477,23.63303064914738,False,False
2022-04-25,24.209999084472656,-1.3592822174732362,-1.1190696391626274,23.350627664756246,31.08433084059571,23.238669495097646,False,False
2022-04-26,22.709999084472656,-1.5082039129570823,-1.1968964939215185,24.23076629638672,31.339875762350914,22.541124565713048,False,False
2022-04-27,23.719999313354492,-1.5271231271950825,-1.2629418205762315,30.701103291999004,31.298287037432242,22.134713145673228,False,False
2022-04-28,24.079999923706055,-1.4958247634253574,-1.3095184091460568,34.47749997963167,31.14938258682765,21.847617535242662,False,False
2022-04-29,24.610000610351562,-1.411977560244587,-1.330010239365763,39.82650049872345,31.04388423473735,21.655115933109325,False,False
2022-05-02,25.389999389648438,-1.267972269828629,-1.317602645458336,45.29914175245165,30.67397033959537,21.645029713810388,False,False
2022-05-03,25.6200008392334,-1.122350091674548,-1.2785521347015785,49.348534960854316,29.653144792879633,22.08785538259644,False,False
2022-05-04,26.719999313354492,-0.9077191610920359,-1.2043855399796701,45.913041834119404,29.16334182143547,22.308658300634843,False,False
2022-05-05,23.110000610351562,-1.017193751204637,-1.1669471822246635,36.717665469113555,28.70969035171739,22.178309755094133,False,False
2022-05-06,22.280000686645508,-1.1575833100078192,-1.1650744077812947,35.82090073699486,28.447168163619658,21.85383205000339,False,False
